127.0.0.1 - - [05/Oct/2016:10:48:26 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:39 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:40 -0300] "GET /08-Livro/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:40 -0300] "GET /08-Livro/js/jquery-3.1.0.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:40 -0300] "GET /08-Livro/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:40 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:48:40 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:49:17 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [05/Oct/2016:10:49:24 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:01:23 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:01:24 -0300] "GET /08-Livro/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:01:24 -0300] "GET /08-Livro/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:01:24 -0300] "GET /08-Livro/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:01:35 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:02:15 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:02:19 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:43 -0300] "GET /08-Livro/livroServlet?isbn=1&acao=abrirForm HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:49 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:50 -0300] "GET /08-Livro/livroServlet?isbn=2&acao=abrirForm HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:51 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:53 -0300] "GET /08-Livro/livroServlet?isbn=1&acao=abrirForm HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:57 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:17:59 -0300] "GET /08-Livro/livroServlet?isbn=2&acao=abrirForm HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [05/Oct/2016:11:18:02 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 4084
